format,arithmetic_type,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
bf16_e8m7,fp64,dot,dense,scalar,1,1,dense/scalar/x1/generic,generic,0.069317404269212679,1
bf16_e8m7,fp64,dot,dense,scalar,1,2,dense/scalar/x1/native_scalar,native_scalar,0.069427154433559374,1
bf16_e8m7,fp64,dot,dense,scalar,1,3,dense/scalar/x1/direct_branchy,direct_branchy,0.08369350756629039,1
bf16_e8m7,fp64,dot,dense,scalar,1,4,dense/scalar/x1/prefix_lut_global,prefix_lut_global,0.086669186714989299,0
bf16_e8m7,fp64,dot,dense,scalar,1,5,dense/scalar/x1/subnormal_lut_global,subnormal_lut_global,0.09086341857910156,0
bf16_e8m7,fp64,dot,dense,scalar,1,6,dense/scalar/x1/subnormal_lut_shared,subnormal_lut_shared,0.091097774329008882,0
bf16_e8m7,fp64,dot,dense,scalar,1,7,dense/scalar/x1/prefix_lut_shared,prefix_lut_shared,0.091539424196236868,0
bf16_e8m7,fp64,dot,dense,scalar,1,8,dense/scalar/x1/direct_masked,direct_masked,0.11637998102511282,0
bf16_e8m7,fp64,dot,dense,thread_packet,2,1,dense/thread_packet/x2/native_packed,native_packed,0.043243310997067144,1
bf16_e8m7,fp64,dot,dense,thread_packet,2,2,dense/thread_packet/x2/native_scalar,native_scalar,0.043244413958630781,1
bf16_e8m7,fp64,dot,dense,thread_packet,2,3,dense/thread_packet/x2/direct_branchy,direct_branchy,0.058159343733377368,0
bf16_e8m7,fp64,dot,dense,thread_packet,2,4,dense/thread_packet/x2/prefix_lut_global,prefix_lut_global,0.062227751480530932,0
bf16_e8m7,fp64,dot,dense,thread_packet,2,5,dense/thread_packet/x2/subnormal_lut_shared,subnormal_lut_shared,0.063423406192552156,0
bf16_e8m7,fp64,dot,dense,thread_packet,2,6,dense/thread_packet/x2/prefix_lut_shared,prefix_lut_shared,0.063962044495167514,0
bf16_e8m7,fp64,dot,dense,thread_packet,2,7,dense/thread_packet/x2/subnormal_lut_global,subnormal_lut_global,0.064230106378856455,0
bf16_e8m7,fp64,dot,dense,thread_packet,2,8,dense/thread_packet/x2/direct_masked,direct_masked,0.10323213304386658,0
bf16_e8m7,fp64,dot,dense,thread_packet,4,1,dense/thread_packet/x4/native_packed,native_packed,0.029806138372878765,1
bf16_e8m7,fp64,dot,dense,thread_packet,4,2,dense/thread_packet/x4/native_scalar,native_scalar,0.030264320101362593,1
bf16_e8m7,fp64,dot,dense,thread_packet,4,3,dense/thread_packet/x4/direct_branchy,direct_branchy,0.04890079975128174,0
bf16_e8m7,fp64,dot,dense,thread_packet,4,4,dense/thread_packet/x4/prefix_lut_global,prefix_lut_global,0.050432107420926242,0
bf16_e8m7,fp64,dot,dense,thread_packet,4,5,dense/thread_packet/x4/prefix_lut_shared,prefix_lut_shared,0.052665994671510535,0
bf16_e8m7,fp64,dot,dense,thread_packet,4,6,dense/thread_packet/x4/subnormal_lut_global,subnormal_lut_global,0.055349434833969098,0
bf16_e8m7,fp64,dot,dense,thread_packet,4,7,dense/thread_packet/x4/subnormal_lut_shared,subnormal_lut_shared,0.055835510464920399,0
bf16_e8m7,fp64,dot,dense,thread_packet,4,8,dense/thread_packet/x4/direct_masked,direct_masked,0.09403410947547769,0
bf16_e8m7,fp64,dot,dense,thread_packet,8,1,dense/thread_packet/x8/native_packed,native_packed,0.028187025539199891,1
bf16_e8m7,fp64,dot,dense,thread_packet,8,2,dense/thread_packet/x8/native_scalar,native_scalar,0.028484589142896827,1
bf16_e8m7,fp64,dot,dense,thread_packet,8,3,dense/thread_packet/x8/direct_branchy,direct_branchy,0.046687209824290712,0
bf16_e8m7,fp64,dot,dense,thread_packet,8,4,dense/thread_packet/x8/prefix_lut_global,prefix_lut_global,0.047827417410693122,0
bf16_e8m7,fp64,dot,dense,thread_packet,8,5,dense/thread_packet/x8/prefix_lut_shared,prefix_lut_shared,0.049348509574619628,0
bf16_e8m7,fp64,dot,dense,thread_packet,8,6,dense/thread_packet/x8/subnormal_lut_global,subnormal_lut_global,0.053326281168127571,0
bf16_e8m7,fp64,dot,dense,thread_packet,8,7,dense/thread_packet/x8/subnormal_lut_shared,subnormal_lut_shared,0.053486074663154026,0
bf16_e8m7,fp64,dot,dense,thread_packet,8,8,dense/thread_packet/x8/direct_masked,direct_masked,0.089049999203000746,0
bf16_e8m7,fp64,dot,padded,scalar,1,1,padded/scalar/x1/generic,generic,0.067663940885516277,1
bf16_e8m7,fp64,dot,padded,scalar,1,2,padded/scalar/x1/native_scalar,native_scalar,0.067665475960735855,1
bf16_e8m7,fp64,dot,padded,scalar,1,3,padded/scalar/x1/direct_branchy,direct_branchy,0.076038400943462661,1
bf16_e8m7,fp64,dot,padded,scalar,1,4,padded/scalar/x1/prefix_lut_global,prefix_lut_global,0.078069999814033508,0
bf16_e8m7,fp64,dot,padded,scalar,1,5,padded/scalar/x1/subnormal_lut_global,subnormal_lut_global,0.081906265052941324,0
bf16_e8m7,fp64,dot,padded,scalar,1,6,padded/scalar/x1/subnormal_lut_shared,subnormal_lut_shared,0.082063999332365439,0
bf16_e8m7,fp64,dot,padded,scalar,1,7,padded/scalar/x1/prefix_lut_shared,prefix_lut_shared,0.08218499487215053,0
bf16_e8m7,fp64,dot,padded,scalar,1,8,padded/scalar/x1/direct_masked,direct_masked,0.10662226054979407,0
bf16_e8m7,fp64,dot,padded,thread_packet,2,1,padded/thread_packet/x2/native_scalar,native_scalar,0.042580533408911367,1
bf16_e8m7,fp64,dot,padded,thread_packet,2,2,padded/thread_packet/x2/native_packed,native_packed,0.042774640649989031,1
bf16_e8m7,fp64,dot,padded,thread_packet,2,3,padded/thread_packet/x2/direct_branchy,direct_branchy,0.057478882545648619,0
bf16_e8m7,fp64,dot,padded,thread_packet,2,4,padded/thread_packet/x2/prefix_lut_global,prefix_lut_global,0.061326438252824161,0
bf16_e8m7,fp64,dot,padded,thread_packet,2,5,padded/thread_packet/x2/prefix_lut_shared,prefix_lut_shared,0.063351290135443966,0
bf16_e8m7,fp64,dot,padded,thread_packet,2,6,padded/thread_packet/x2/subnormal_lut_global,subnormal_lut_global,0.065163733164469412,0
bf16_e8m7,fp64,dot,padded,thread_packet,2,7,padded/thread_packet/x2/subnormal_lut_shared,subnormal_lut_shared,0.065317894283093897,0
