distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,16777216,15,0.023830588525082883,0.023824483406643907,0.02384193644804113,1.0971261673615312e-05,0.023750883791627004,0.023856510835535385,33554432.0,67108864.0,4194304.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,4096,15,0.0054152822190491,0.005414920907911569,0.0054154391379962075,3.14305610900692e-07,0.005414246226596505,0.005417510421326372,8192.0,16384.0,1024.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,65536,15,0.005416879353742622,0.005416685616998927,0.005417173999851033,2.6370364874985647e-07,0.005416476639939279,0.0054178866000787395,131072.0,262144.0,16384.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,1048576,15,0.006075456500643875,0.006074787039119067,0.006076689139131537,8.450278752968748e-07,0.006071211941372122,0.006078608822022156,2097152.0,4194304.0,1048576.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,134217728,15,0.25698332059181345,0.2569323394258144,0.2570668479143563,6.18271908517376e-05,0.2568889553264036,0.2571476596896931,268435456.0,536870912.0,134217728.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,16777216,15,0.03840085712259001,0.0383928365426153,0.03841175406611956,1.0124799713052968e-05,0.038367141028192026,0.03845988265950303,33554432.0,67108864.0,16777216.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,4096,15,0.005211511340755766,0.005210263582847258,0.005212218773914869,1.2021828876811885e-06,0.005204998420864074,0.005224308171728028,8192.0,16384.0,4096.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,65536,15,0.0051890918186732705,0.005188398173289933,0.005189911367857985,7.72335259197586e-07,0.005187089572399121,0.005190179383226216,131072.0,262144.0,65536.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,1048576,15,0.005854100004323192,0.005853447645794933,0.005857363027829637,2.0648993717129263e-06,0.00585028383001939,0.005860146506274553,2097152.0,4194304.0,524288.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,134217728,15,0.15664066871007284,0.15660717089970905,0.15666800240675607,2.8332074483217173e-05,0.15650167067845663,0.15683499972025552,268435456.0,536870912.0,67108864.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,16777216,15,0.025996429429950948,0.025973089549998198,0.026004808858325068,1.3048074785977637e-05,0.025959705426529547,0.026065940387638674,33554432.0,67108864.0,8388608.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,4096,15,0.005246651443568143,0.00524541667916558,0.00524750758301128,1.2878215674199875e-06,0.0052447422887339735,0.005262439449628194,8192.0,16384.0,2048.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,65536,15,0.00525444079214151,0.005253166586349927,0.005254706348741585,5.62793636647678e-07,0.005251861166010616,0.005257254294435979,131072.0,262144.0,32768.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,1048576,15,0.006030959215572686,0.006029901650770199,0.006031450173767832,9.304754699998585e-07,0.006028319590309825,0.006034682126098181,2097152.0,4194304.0,262144.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,134217728,15,0.1295164124719028,0.1294846904688868,0.12953530919962913,2.2896404924060976e-05,0.12944468958624478,0.12956496764873637,268435456.0,536870912.0,33554432.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,16777216,15,0.022559396513215788,0.022545330939899248,0.022572131883031345,1.3764649395665157e-05,0.02252875317584027,0.022594008752652203,33554432.0,67108864.0,4194304.0
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,4096,15,0.00536081197903241,0.005360511837876993,0.005361664960832161,7.634235517630858e-07,0.005359431329717491,0.0053788586921498256,8192.0,16384.0,1024.0
