gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,8,276824064,256,0,2,735,0.018224282816153806,2162688,1081344,276824064,0,15189846799053.521,118.67067811760563,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,1,34603008,256,0,2,1404,0.008306324651777915,270336,135168,34603008,0,4165862695072.1763,32.545802305251378,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,4,2214592512,4096,0,2,91,0.16392158675979782,0,0,0,4429185024,13510072442412.047,0,27020.144884824094
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,4,138412032,256,0,2,1285,0.0096015937597371259,1081344,540672,138412032,0,14415526782690.029,112.62130298976585,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,2,1107296256,4096,0,2,114,0.12983550523456774,0,0,0,2214592512,8528454939960.3721,0,17056.909879920746
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,4,2214592512,4096,0,2,130,0.11303064639751728,0,0,0,4429185024,19592850103780.734,0,39185.700207561466
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,4,134217728,1,0,2,120,0.12358187039693197,268435456,33554432,134217728,0,1086063251582.9934,2172.1265031659868,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,1,553648128,4096,0,2,147,0.09870062717775098,0,0,0,1107296256,5609367881755.4971,0,11218.735763510995
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,2,69206016,256,0,2,1375,0.0086091169877485791,540672,270336,69206016,0,8038689228928.5137,62.80225960100401,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,4,138412032,256,0,2,900,0.014157724380493165,1081344,540672,138412032,0,9776432163823.3926,76.378376279870253,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,1,553648128,4096,0,2,143,0.10341370856011664,0,0,0,1107296256,5353720852957.8281,0,10707.441705915657
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_unrolled,8,134217728,1,0,2,172,0.085121487462243364,268435456,134217728,134217728,0,1576778461014.7214,3153.5569220294428,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,8,4429185024,4096,0,2,49,0.30774595299545598,0,0,0,8858370048,14392342062952.811,0,28784.68412590562
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,1,34603008,256,0,2,1359,0.0086077408723922409,270336,135168,34603008,0,4019987185137.373,31.406149883885728,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,vector_packet,8,134217728,1,0,2,184,0.079098084698552673,268435456,16777216,134217728,0,1696851807619.7603,3393.7036152395203,0
