distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,modeled_conversions
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,4,2214592512.0,4096.0,15,0.16404586368136936,0.16390791469150118,0.16433600319756403,0.00020870632595487715,0.16382257673475478,0.16454363928900825,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,8,4429185024.0,4096.0,15,0.3075898812741649,0.3075735520343391,0.30820702533332667,0.0006073348376215981,0.3066664520575076,0.3085244042532785,8858370048.0,0.0,0.0,0.0
normal_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,1,34603008.0,256.0,15,0.00860751011408115,0.008607303779227037,0.008608361197324839,6.186203261142331e-07,0.008604131909169851,0.00861021744253941,0.0,270336.0,135168.0,34603008.0
normal_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,2,69206016.0,256.0,15,0.008609449494922015,0.00860732138199741,0.008609748418000343,6.897170110025524e-07,0.008606251840707983,0.008629693991841386,0.0,540672.0,270336.0,69206016.0
normal_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,4,138412032.0,256.0,15,0.009605759186364115,0.009603505589779182,0.009608025095645623,2.3535906055905526e-06,0.0095942412183878,0.009619104657001526,0.0,1081344.0,540672.0,138412032.0
normal_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,8,276824064.0,256.0,15,0.018265357692980665,0.018230171390870513,0.01831127049043503,3.603899127805135e-05,0.01822855495971851,0.01832567725910545,0.0,2162688.0,1081344.0,276824064.0
normal_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,1,34603008.0,256.0,15,0.008356684282747143,0.008340177529299452,0.008359746644397925,3.873085489079081e-06,0.00830362817924011,0.008366051901401893,0.0,270336.0,135168.0,34603008.0
normal_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,2,69206016.0,256.0,15,0.010274684390338313,0.010273328821511532,0.01027541362501511,9.637702171501339e-07,0.010271322455390657,0.010291778303512921,0.0,540672.0,270336.0,69206016.0
normal_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,4,138412032.0,256.0,15,0.014160053206909584,0.01415525434298447,0.014164233812292197,4.586468983642719e-06,0.014120397389000805,0.014170355413031027,0.0,1081344.0,540672.0,138412032.0
normal_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,8,276824064.0,256.0,15,0.02313150450537436,0.02312880295973558,0.02313286963115169,2.2470353040413005e-06,0.023121176754750537,0.023169552602098138,0.0,2162688.0,1081344.0,276824064.0
normal_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,1,34603008.0,256.0,15,0.008603519357758662,0.008602806567766406,0.008616948563993783,9.41535263851434e-07,0.008599700867039112,0.008623299943898155,0.0,270336.0,135168.0,34603008.0
normal_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,2,69206016.0,256.0,15,0.008605602611194958,0.008603485107421874,0.008606161637739702,1.4655373313209041e-06,0.008601344021883877,0.008624454151500356,0.0,540672.0,270336.0,69206016.0
