distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,x1_time_ms,speedup_over_x1
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,16777216,0.02676763679042007,0.06757445729106938,2.5244834955043083
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,4096,0.0056056271513181604,0.005409564925741053,0.9650240338351787
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,65536,0.005732548418383913,0.005415861986420205,0.9447564313721075
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,1048576,0.006382641179601574,0.00713479410188901,1.1178435229433323
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,134217728,0.26710171358925955,0.4880381861040669,1.8271623178522785
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,16777216,0.03992121025961654,0.06757445729106938,1.6926956084652143
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,4096,0.005412507116943971,0.005409564925741053,0.9994564088066124
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,65536,0.005415324286169832,0.005415861986420205,1.0000992923455658
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,1048576,0.0063056768808822964,0.00713479410188901,1.1314874258020502
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,134217728,0.16766186820136175,0.4880381861040669,2.91084783522711
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,16777216,0.027439012260080498,0.06757445729106938,2.4627146433175264
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,4096,0.005411641351107894,0.005409564925741053,0.9996163039580559
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,65536,0.005415523028515916,0.005415861986420205,1.000062590058708
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,1048576,0.006393230888362551,0.00713479410188901,1.115991933730457
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,134217728,0.13523113834965336,0.4880381861040669,3.608918715467708
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,16777216,0.02333157977631088,0.06757445729106938,2.8962658310724154
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,4096,0.0054491566695627,0.005409564925741053,0.9927343355637407
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,65536,0.005456007532326572,0.005415861986420205,0.9926419555566031
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_single,1,1,1048576,0.0068771369040468424,0.0068771369040468424,1.0
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_single,1,1,134217728,0.4834962660266507,0.4834962660266507,1.0
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_single,1,1,16777216,0.06751164015348968,0.06751164015348968,1.0
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_single,1,1,4096,0.00520520259376365,0.00520520259376365,1.0
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_single,1,1,65536,0.0052114197145025415,0.0052114197145025415,1.0
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,2,1,1048576,0.006475801940436836,0.0068771369040468424,1.0619745581012834
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,2,1,134217728,0.2997542381286621,0.4834962660266507,1.6129755797451708
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,2,1,16777216,0.04504435361343057,0.06751164015348968,1.4987814173752554
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,2,1,4096,0.005207616422713236,0.00520520259376365,0.9995364810397598
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,2,1,65536,0.00521361096609336,0.0052114197145025415,0.9995797055812047
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,4,1,1048576,0.0067054964110417675,0.0068771369040468424,1.0255969852914155
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,4,1,134217728,0.2559381743608895,0.4834962660266507,1.8891135221777797
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,4,1,16777216,0.03889131420205954,0.06751164015348968,1.7359053438701877
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,4,1,4096,0.005215756393193178,0.00520520259376365,0.9979765543798593
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,4,1,65536,0.0053046225549694065,0.0052114197145025415,0.9824298827105895
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,8,1,1048576,0.008191201886076811,0.0068771369040468424,0.8395760475317325
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,8,1,134217728,0.29880533031388823,0.4834962660266507,1.6180978616370358
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,8,1,16777216,0.044785800576210025,0.06751164015348968,1.50743403679048
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,8,1,4096,0.005714491217912076,0.00520520259376365,0.9108776958914452
normal_0_1,dot,fp32_e8m23,32,fp32,scalar_unrolled,8,1,65536,0.005862219580288591,0.0052114197145025415,0.8889840517106643
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,2,1,1048576,0.006453652648753268,0.0068771369040468424,1.065619313331867
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,2,1,134217728,0.2989000806621477,0.4834962660266507,1.6175849299055745
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,2,1,16777216,0.04494936722975511,0.06751164015348968,1.5019486216215083
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,2,1,4096,0.005207608207389307,0.00520520259376365,0.9995380578703591
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,2,1,65536,0.005212157113211495,0.0052114197145025415,0.9998585233152154
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,4,1,1048576,0.006403028832246572,0.0068771369040468424,1.0740443443597496
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,4,1,134217728,0.2549201351101116,0.4834962660266507,1.8966578133100656
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,4,1,16777216,0.03870172751577277,0.06751164015348968,1.7444089576098514
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,4,1,4096,0.005207695909533239,0.00520520259376365,0.9995212247771564
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,4,1,65536,0.005211536216915609,0.0052114197145025415,0.9999776452838053
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,8,1,1048576,0.0065258130397231814,0.0068771369040468424,1.0538360296541018
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,8,1,134217728,0.2514784018198649,0.4834962660266507,1.9226154712601569
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,8,1,16777216,0.03795135382449988,0.06751164015348968,1.778899389615631
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,8,1,4096,0.005294487890425677,0.00520520259376365,0.9831361788883327
normal_0_1,dot,fp32_e8m23,32,fp32,vector_packet,8,1,65536,0.00535433252173734,0.0052114197145025415,0.9733089406280604
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_single,1,1,1048576,0.007094923098834078,0.007094923098834078,1.0
