gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,2,134217728,1,0,2,71,0.21124326679068553,268435456,67108864,134217728,0,635370442992.59119,1270.7408859851823,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,8,276824064,256,0,2,585,0.023119862874348959,2162688,1081344,276824064,0,11973430184446.768,93.542423315990376,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,2,134217728,1,0,2,71,0.21115222447355028,268435456,67108864,0,0,635644395102.32397,1271.288790204648,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,8,134217728,1,0,2,171,0.086424515261287582,268435456,16777216,134217728,0,1553005273957.4993,3106.0105479149984,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,8,276824064,256,0,3,730,0.018321183609635864,2162688,1081344,276824064,0,15109507655084.404,118.04302855534691,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,2,134217728,1,0,3,68,0.2188244707444135,268435456,134217728,134217728,0,613357946409.77795,1226.7158928195558,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,4,134217728,1,0,3,124,0.1193349669056554,268435456,134217728,0,0,1124714167860.8811,2249.4283357217623,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,8,134217728,1,0,3,186,0.079082494140953141,268435456,16777216,134217728,0,1697186330021.1074,3394.3726600422146,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,2,134217728,1,0,3,71,0.2111707069504429,268435456,67108864,0,0,635588761046.75793,1271.1775220935158,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,2,69206016,256,0,3,1190,0.010290904005034631,540672,270336,69206016,0,6724969542631.2656,52.538824551806762,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,8,4429185024,4096,0,3,89,0.16507649153805851,0,0,0,8858370048,26831107099091.984,0,53662.214198183967
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,2,1107296256,4096,0,3,113,0.12980332838750519,0,0,0,2214592512,8530569052084.3984,0,17061.138104168796
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,1,34603008,256,0,3,1328,0.0086046744541949539,270336,135168,34603008,0,4021419774124.0898,31.417341985344454,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,2,134217728,1,0,3,71,0.21274546502341687,268435456,134217728,0,0,630884084815.75232,1261.7681696315046,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,8,134217728,1,0,3,171,0.086480469731559526,268435456,134217728,0,0,1552000450698.5188,3104.0009013970375,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,1,553648128,4096,0,3,142,0.10306862038625798,0,0,0,1107296256,5371645860060.5977,0,10743.291720121195
