distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,sustainable_hbm_gb_per_s,empirical_arithmetic_peak_gflop_per_s,memory_floor_ms,compute_floor_ms,classical_roof_time_ms,roof_gap,roof_efficiency
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,4,1024,65536,0.15815386873610476,4263.659623842958,28801.735231941813,0.12604083050973716,0.00466005700417485,0.12604083050973716,1.2547828199520372,0.7969506627754307
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,8,1024,1024,0.008305638948219484,4263.659623842958,28801.735231941813,0.001969387976714643,7.281339069023203e-05,0.001969387976714643,4.217370597577757,0.23711456625944827
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,8,1024,16384,0.08118167536218739,4263.659623842958,28801.735231941813,0.03151020762743429,0.0011650142510437125,0.03151020762743429,2.57636116911863,0.38814433783059177
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,8,1024,256,0.004734481026244143,4263.659623842958,28801.735231941813,0.0004923469941786608,1.820334767255801e-05,0.0004923469941786608,9.616146909035692,0.10399175568546717
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,8,1024,4096,0.022684562304788384,4263.659623842958,28801.735231941813,0.007877551906858573,0.00029125356276092813,0.007877551906858573,2.879646186150563,0.34726488441858694
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,8,1024,65536,0.3545341037568592,4263.659623842958,28801.735231941813,0.12604083050973716,0.00466005700417485,0.12604083050973716,2.812851219109271,0.35551116006649797
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,2,1024,1024,0.00465098312467237,4263.659623842958,28801.735231941813,0.001969387976714643,7.281339069023203e-05,0.001969387976714643,2.361638833822473,0.42343477151475867
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,2,1024,16384,0.03799054811677664,4263.659623842958,28801.735231941813,0.03151020762743429,0.0011650142510437125,0.03151020762743429,1.2056584509363961,0.8294222955293284
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,2,1024,256,0.003756255127628963,4263.659623842958,28801.735231941813,0.0004923469941786608,1.820334767255801e-05,0.0004923469941786608,7.629284167551775,0.1310738960613258
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,2,1024,4096,0.008173242697141524,4263.659623842958,28801.735231941813,0.007877551906858573,0.00029125356276092813,0.007877551906858573,1.0375358732991031,0.9638220959245019
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,2,1024,65536,0.1306893887727157,4263.659623842958,28801.735231941813,0.12604083050973716,0.00466005700417485,0.12604083050973716,1.0368813680787308,0.9644304843213941
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,4,1024,1024,0.00494043686289058,4263.659623842958,28801.735231941813,0.001969387976714643,7.281339069023203e-05,0.001969387976714643,2.5086153268449807,0.3986262817176014
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,4,1024,16384,0.03718811198506007,4263.659623842958,28801.735231941813,0.03151020762743429,0.0011650142510437125,0.03151020762743429,1.1801925402954923,0.8473193702356597
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,4,1024,256,0.0038806966117194467,4263.659623842958,28801.735231941813,0.0004923469941786608,1.820334767255801e-05,0.0004923469941786608,7.882035754464738,0.12687077693520424
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,4,1024,4096,0.008581751043146306,4263.659623842958,28801.735231941813,0.007877551906858573,0.00029125356276092813,0.007877551906858573,1.0893931445471816,0.91794225528715
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,4,1024,65536,0.13198287863480418,4263.659623842958,28801.735231941813,0.12604083050973716,0.00466005700417485,0.12604083050973716,1.0471438350654787,0.9549786443019732
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,8,1024,1024,0.006506625328274722,4263.659623842958,28801.735231941813,0.001969387976714643,7.281339069023203e-05,0.001969387976714643,3.3038819192595827,0.3026742554479989
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,8,1024,16384,0.05275368777188388,4263.659623842958,28801.735231941813,0.03151020762743429,0.0011650142510437125,0.03151020762743429,1.6741777266473483,0.5973081495968569
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,8,1024,256,0.0049116169550451295,4263.659623842958,28801.735231941813,0.0004923469941786608,1.820334767255801e-05,0.0004923469941786608,9.97592554259166,0.10024132555225633
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,8,1024,4096,0.014746982800333123,4263.659623842958,28801.735231941813,0.007877551906858573,0.00029125356276092813,0.007877551906858573,1.8720261033753007,0.534180585514796
uniform_0_1,gemv,fp64_e11m52,64,fp64,vector_packet,8,1024,65536,0.19213921683175222,4263.659623842958,28801.735231941813,0.12604083050973716,0.00466005700417485,0.12604083050973716,1.5244204283223022,0.6559870108146924
uniform_0_1,gemv,fp8_e4m3,8,fp16,scalar_single,1,1024,1024,0.004579207228772161,4263.659623842958,53664.89997272241,0.0002461734970893304,3.907865291961732e-05,0.0002461734970893304,18.601544369784364,0.05375897721827666
