distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,native_arithmetic,native_time_ms,mixed_fp64_time_ms,mixed_over_native_slowdown
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,1048576,fp16,0.006506815254024514,0.0066224685660353656,1.0177741809926628
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,134217728,fp16,0.245321445777768,0.25606779324806345,1.0438051693207058
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,16777216,fp16,0.0190496254727185,0.021352862706900146,1.1209072187524198
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,4096,fp16,0.005583815706104862,0.005537329895079933,0.9916749023478505
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,65536,fp16,0.005547373070634894,0.0055379933034046544,0.9983091515369875
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,1048576,fp16,0.006265800319616047,0.006440979866248728,1.0279580480859332
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,134217728,fp16,0.1402685575396101,0.15467612276372222,1.1027141468967028
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,16777216,fp16,0.015555659763650084,0.018289827218451224,1.1757667303311845
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,4096,fp16,0.005771760408043256,0.005649915950264997,0.9788895502993398
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,65536,fp16,0.005772996680725743,0.005652061492602817,0.9790515749772226
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,1048576,fp16,0.006266200906845159,0.006476438359210366,1.033551023258055
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,134217728,fp16,0.09414136862453026,0.11494646072387696,1.2209984027566554
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,16777216,fp16,0.01621042972346847,0.01791813895312703,1.10534632695062
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,4096,fp16,0.0057730084373837426,0.005701129257534665,0.9875490949599837
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,65536,fp16,0.0057738528810959925,0.0057735728646466835,0.9999515026698679
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,1048576,fp16,0.006507597970699079,0.006623401198276254,1.0177950801660747
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,134217728,fp16,0.24508276142057825,0.2549835948620812,1.0403979185811134
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,16777216,fp16,0.01994086748146149,0.021963285363238792,1.101420757329514
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,4096,fp16,0.005578495183756932,0.005537565816554576,0.9926630093144956
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,65536,fp16,0.005545848628399601,0.005538022433783336,0.9985888192879646
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,1048576,fp16,0.006380222364645052,0.006406558526528848,1.0041277811929774
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,134217728,fp16,0.14647159954108815,0.15729225442764608,1.0738754469839904
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,16777216,fp16,0.01822789809585099,0.01898067555529006,1.041298094573527
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,4096,fp16,0.00577219183689919,0.0056465056947040074,0.9782255777793586
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,65536,fp16,0.005773039510204288,0.005557285335487472,0.9626272825024922
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,1048576,fp16,0.006277353520401091,0.006493832397460937,1.034485691518934
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,134217728,fp16,0.09962888372024434,0.1140895990224985,1.1451458127630891
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,16777216,fp16,0.015708777050223787,0.017675999591225074,1.125230788794807
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,4096,fp16,0.005772888866879455,0.005644133406775062,0.9776965288829488
normal_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,65536,fp16,0.005773586113761568,0.00560530121930821,0.9708526224191505
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_single,1,1,1048576,fp16,0.00685314038270454,0.006883297033165608,1.0044004133546098
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_single,1,1,134217728,fp16,0.45969162565289123,0.4752489924430847,1.033843050258089
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_single,1,1,16777216,fp16,0.029330489370557995,0.03135150583092794,1.068904968984208
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_single,1,1,4096,fp16,0.005335988059367124,0.00528307617216263,0.9900839569699544
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_single,1,1,65536,fp16,0.005350745237445784,0.005283732126994305,0.9874759295242641
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,2,1,1048576,fp16,0.0062609887070008,0.00631779926833107,1.0090737364318747
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,2,1,134217728,fp16,0.24509953670814388,0.25576992692618533,1.0435349261012574
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,2,1,16777216,fp16,0.01883303348555764,0.021045941500860487,1.1175014113897181
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,2,1,4096,fp16,0.005354925160257926,0.005283753435713307,0.9867091093872187
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,2,1,65536,fp16,0.005341205395572245,0.0052840904484416605,0.9893067308031382
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,4,1,1048576,fp16,0.006003263217477471,0.006093508080591129,1.0150326347262146
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,4,1,134217728,fp16,0.13994686558561506,0.15425599614779154,1.102246881359573
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,4,1,16777216,fp16,0.015297176075630447,0.017974794629108476,1.1750400557749792
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,4,1,4096,fp16,0.0054812261900926,0.005328435581665945,0.9721247394054223
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,4,1,65536,fp16,0.00548874098679115,0.005330132686288745,0.971102972269214
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,8,1,1048576,fp16,0.006067739770593085,0.006110346920144111,1.0070219144462191
normal_0_1,dot,fp8_e5m2,8,fp64,scalar_unrolled,8,1,134217728,fp16,0.09379076957702637,0.11454461711321691,1.221278145277892
