gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,algorithmic_bytes,algorithmic_flops,arithmetic_intensity_flop_per_byte,blocks,threads,round,order_in_round,iterations,sample,total_time_ms,giga_elements_per_s,algorithmic_gb_per_s,gflop_per_s
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,4,0.004407340023994932,0.23233968661937246,1.8587174929549797,0.46467937323874492
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,5,0.0044073521696179115,0.23233904634600011,1.8587123707680009,0.46467809269200022
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,6,0.0044076290898218606,0.23232444907050609,1.8585955925640487,0.46464889814101218
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,7,0.0044072909556780917,0.23234227335972435,1.8587381868777948,0.4646845467194487
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,8,0.0044073725742645184,0.23233797069467862,1.858703765557429,0.46467594138935725
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,9,0.0044074537070260267,0.2323336937986705,1.858669550389364,0.464667387597341
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,10,0.0044073725742645184,0.23233797069467862,1.858703765557429,0.46467594138935725
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,11,0.0044074007521098324,0.23233648528779891,1.8586918823023912,0.46467297057559781
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,12,0.0044072462597855248,0.23234462964858971,1.8587570371887177,0.46468925929717941
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,13,0.0044075314390130994,0.23232959632144703,1.8586367705715763,0.46465919264289407
