kernel,distribution,format,storage_bits,n,m,comparison,batch,finite_count,bias,mean_absolute_error,mse,relative_l2,mean_normalized_absolute_error,rms_normalized_error
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,0,1024,-8.16912351878779086078e-08,1.03031270373005190422e-07,1.55965816748691323815e-14,7.62881492511660613935e-12,6.29376808710617908619e-12,7.62868648120082205317e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,1,1024,-2.42003342912008867494e-08,7.37438931438724742939e-08,8.5629976334616112765e-15,5.65506351108816950936e-12,4.50666025437933013671e-12,5.65517925192447968784e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,2,1024,3.18297308649073684705e-08,7.16443834970076354196e-08,8.16239174928203347837e-15,5.50347353227260274288e-12,4.36421990752241201716e-12,5.50349032609761445917e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,3,1024,-7.58990663807940224572e-09,6.95981077119059432512e-08,7.73865100690327256284e-15,5.35667210543242065902e-12,4.23842351147945702679e-12,5.35739764740308723859e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,4,1024,-1.03559103396821949872e-07,1.1611930562926975341e-07,1.89747716537972354805e-14,8.4135682796203890213e-12,7.09198164199487248255e-12,8.41279500989620131997e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,5,1024,8.61783833946971888906e-08,1.03105846601878048396e-07,1.57407958685228052811e-14,7.64280450501649006916e-12,6.28109337865355002313e-12,7.64270879209923729265e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,6,1024,2.58596100140978668591e-08,7.47399427260958537644e-08,8.82780295186122124185e-15,5.73953453483797369854e-12,4.56520513486119814905e-12,5.73864386564896978524e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,7,1024,-1.73837484233885231077e-08,7.29585090623180443359e-08,8.35495518655622944182e-15,5.59376305971620704811e-12,4.46486584329790368404e-12,5.59399957153016824495e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,8,1024,-3.45081156956708601236e-08,7.80230933880229904354e-08,9.41468091282242522082e-15,5.89557476583866694357e-12,4.74090671841086804487e-12,5.89582032860748626165e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,9,1024,2.22681970528035289014e-08,7.25696124746419424234e-08,8.29937434553163507442e-15,5.55711883386191471727e-12,4.42701747310455801835e-12,5.55792402078917605306e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,10,1024,-1.02452140347819575794e-09,6.99270722159806012996e-08,7.60228254670274641029e-15,5.34446851237033953647e-12,4.28596906494562808314e-12,5.34396336150233770164e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,11,1024,-1.21977954299634649971e-08,6.92956805426608868359e-08,7.53306186743821888041e-15,5.28051902313574031658e-12,4.21632872403062909314e-12,5.28151249732374927582e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,12,1024,8.50939762863170412466e-08,9.98641068094760497864e-08,1.49931261608269976468e-14,7.4791937807233793253e-12,6.10026274943067821782e-12,7.48028017554845748308e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,13,1024,2.87871857306692957579e-08,7.50527656551147615005e-08,8.64665134877895692697e-15,5.67383397000014555654e-12,4.5791357870450563905e-12,5.67307454560620478964e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,14,1024,-8.78550624793320023009e-08,1.03010649512950969164e-07,1.51977914838748617554e-14,7.55114840813886553219e-12,6.30976520839915740418e-12,7.55160555842369637033e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x4,15,1024,-5.72878989298780672001e-08,8.62341831466689745511e-08,1.15571137204847199028e-14,6.58165867540472110427e-12,5.27976798159287066367e-12,6.58281692994783769748e-12
gemv,normal_0_1,e2m29,32,256,1024,storage,0,1003,2.96713341532893569151e-10,9.99995847776281040671e-09,1.59601248251707652727e-16,7.91253061025982613589e-10,6.11793494582664364906e-11,7.71596540772018738304e-11
gemv,normal_0_1,e2m29,32,256,1024,storage,1,1007,-4.23559507888877803098e-10,1.04682694204629910553e-08,1.75673474533648255615e-16,8.24894074881631688643e-10,6.17613624815979090683e-11,7.82061296867940544912e-11
gemv,normal_0_1,e2m29,32,256,1024,storage,2,1013,3.33427084893130382826e-10,1.0385987458442426039e-08,1.64604976898647230391e-16,7.76687897220334293241e-10,6.26282459647461226766e-11,7.72491195854419001e-11
gemv,normal_0_1,e2m29,32,256,1024,storage,3,1012,-4.60414003507743351787e-11,1.04327878825864627811e-08,1.70874862734686826953e-16,8.53234563021427766201e-10,6.48820711823072079627e-11,8.12171473932510211467e-11
gemv,normal_0_1,e2m29,32,256,1024,storage,4,1005,1.06472289922818698795e-10,1.03038217387326663797e-08,1.67207241029474642231e-16,8.00841938442647359883e-10,6.3455137724870475034e-11,7.96632523362026192943e-11
