kernel,distribution,format,storage_bits,n,m,comparison,finite_pairs,mse,mse_relative_cluster_standard_error,target,status
dot,normal_0_1,fp8_e4m3,8,16384,1,total_x2,8192,23.118786905156680769,0.0138077499260722517183,0.05,pass
dot,normal_0_1,fp8_e4m3,8,16384,1,total_x4,8192,23.118786905156680769,0.0138077499260722517183,0.05,pass
dot,normal_0_1,fp8_e4m3,8,262144,1,storage,8192,366.324728150462905679,0.0180412386130463858072,0.05,pass
dot,normal_0_1,fp8_e4m3,8,262144,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,262144,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,262144,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,262144,1,total_x1,8192,366.324728150462905679,0.0180412386130463858072,0.05,pass
dot,normal_0_1,fp8_e4m3,8,262144,1,total_x2,8192,366.324728150462905679,0.0180412386130463858072,0.05,pass
dot,normal_0_1,fp8_e4m3,8,262144,1,total_x4,8192,366.324728150462905679,0.0180412386130463858072,0.05,pass
dot,normal_0_1,fp8_e4m3,8,4194304,1,storage,8192,5798.95494043736024281,0.0166391946606662634913,0.05,pass
dot,normal_0_1,fp8_e4m3,8,4194304,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,4194304,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,4194304,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,4194304,1,total_x1,8192,5798.95494043736024281,0.0166391946606662634913,0.05,pass
dot,normal_0_1,fp8_e4m3,8,4194304,1,total_x2,8192,5798.95494043736024281,0.0166391946606662634913,0.05,pass
dot,normal_0_1,fp8_e4m3,8,4194304,1,total_x4,8192,5798.95494043736024281,0.0166391946606662634913,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,1024,1,storage,8192,0.50313365025739239481,0.0115034571579642238791,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,1024,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,1024,1,total_x1,8192,0.50313365025739239481,0.0115034571579642238791,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,1024,1,total_x2,8192,0.50313365025739239481,0.0115034571579642238791,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,1024,1,total_x4,8192,0.50313365025739239481,0.0115034571579642238791,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,16384,1,storage,8192,8.18824080122275087604,0.0134387346708391573434,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,16384,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,16384,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,16384,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,16384,1,total_x1,8192,8.18824080122275087604,0.0134387346708391573434,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,16384,1,total_x2,8192,8.18824080122275087604,0.0134387346708391573434,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,16384,1,total_x4,8192,8.18824080122275087604,0.0134387346708391573434,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,262144,1,storage,8192,131.804525459970629367,0.0158388101690926871444,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,262144,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,262144,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,262144,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,262144,1,total_x1,8192,131.804525459970629367,0.0158388101690926871444,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,262144,1,total_x2,8192,131.804525459970629367,0.0158388101690926871444,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,262144,1,total_x4,8192,131.804525459970629367,0.0158388101690926871444,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,4194304,1,storage,8192,2117.66510196950448952,0.0143144276612511718428,0.05,pass
dot,uniform_0_1,fp8_e5m2,8,4194304,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,4194304,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e5m2,8,4194304,1,kernel_x4,8192,0,nan,0.05,exact_zero
