kernel,distribution,format,storage_bits,n,m,comparison,metric,quantile,value,finite_value_count
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,1,0.00278019102026579321318,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0,1.57066832219404952905e-07,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.000999999999999999999958,9.82825139347867511896e-07,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.0049999999999999999999,4.18598768039524356305e-06,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.0099999999999999999998,8.48623980597849157996e-06,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.0250000000000000000003,2.36280663523144947556e-05,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.0500000000000000000007,4.44373802971010356111e-05,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.100000000000000000001,8.78048600116847711628e-05,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.25,0.000231040248134747116057,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.5,0.000491696995725292211306,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.75,0.000830158226410350753839,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.899999999999999999978,0.00120457648245426124236,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.949999999999999999989,0.00143377217642725830925,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.975000000000000000022,0.00164068723408184804868,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.990000000000000000009,0.00187708134745846665125,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.995000000000000000004,0.00205749888651933860311,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,0.998999999999999999979,0.00234939724535790506602,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,relative_absolute_error,1,0.00278019102026579321318,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.000999999999999999999958,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.0049999999999999999999,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.0099999999999999999998,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.0250000000000000000003,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.0500000000000000000007,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.100000000000000000001,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.25,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.5,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.75,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.899999999999999999978,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.949999999999999999989,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.975000000000000000022,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.990000000000000000009,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.995000000000000000004,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,0.998999999999999999979,1,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,condition_number,1,1,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.000999999999999999999958,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.0049999999999999999999,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.0099999999999999999998,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.0250000000000000000003,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.0500000000000000000007,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.100000000000000000001,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.25,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.5,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.75,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.899999999999999999978,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.949999999999999999989,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.975000000000000000022,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.990000000000000000009,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.995000000000000000004,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,0.998999999999999999979,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,signed_error,1,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.000999999999999999999958,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.0049999999999999999999,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.0099999999999999999998,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.0250000000000000000003,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.0500000000000000000007,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.100000000000000000001,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.25,0,8192
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,absolute_error,0.5,0,8192
