kernel,distribution,format,storage_bits,n,m,comparison,total_outputs,finite_pairs,matching_nonfinite,class_mismatches,zero_references,bias,mean_absolute_error,mse,rmse,max_absolute_error,relative_l2,mean_normalized_absolute_error,rms_normalized_error,max_normalized_absolute_error,bias_cluster_standard_error,mse_cluster_standard_error,mse_relative_cluster_standard_error,statistical_batches
dot,normal_0_1,fp16_e5m10,16,16384,1,kernel_x2,8192,8192,0,0,0,-8.67361737988403547206e-19,8.67361737988403547206e-19,6.16297582203915472978e-33,7.85046229341887529676e-17,7.10542735760100185871e-15,6.09448469715537972215e-19,8.41341081963809335336e-23,7.61495019964718686242e-21,6.89226614344752607507e-19,8.67361737988403547206e-19,6.16297582203915472978e-33,1,32
dot,normal_0_1,fp16_e5m10,16,16384,1,kernel_x4,8192,8192,0,0,0,-8.67361737988403547206e-19,8.67361737988403547206e-19,6.16297582203915472978e-33,7.85046229341887529676e-17,7.10542735760100185871e-15,6.09448469715537972215e-19,8.41341081963809335336e-23,7.61495019964718686242e-21,6.89226614344752607507e-19,8.67361737988403547206e-19,6.16297582203915472978e-33,1,32
dot,normal_0_1,fp16_e5m10,16,16384,1,total_x1,8192,8192,0,0,0,0.000110120668746838465563,0.0298756940260301173509,0.00139649667093052968251,0.0373697293398083053662,0.143878307500197054336,0.000290109452852584311589,2.86352180987814744673e-06,3.58112200198381601622e-06,1.35550499476347101597e-05,0.000377630959506400914698,2.03576082264074438225e-05,0.0145776274660522668946,32
dot,normal_0_1,fp16_e5m10,16,16384,1,total_x2,8192,8192,0,0,0,0.000110120668746838465563,0.0298756940260301173509,0.00139649667093052968251,0.0373697293398083053662,0.143878307500197054336,0.000290109452852584311589,2.86352180987814744673e-06,3.58112200198381601622e-06,1.35550499476347101597e-05,0.000377630959506400914698,2.03576082264074438225e-05,0.0145776274660522668946,32
dot,normal_0_1,fp16_e5m10,16,16384,1,total_x4,8192,8192,0,0,0,0.000110120668746838465563,0.0298756940260301173509,0.00139649667093052968251,0.0373697293398083053662,0.143878307500197054336,0.000290109452852584311589,2.86352180987814744673e-06,3.58112200198381601622e-06,1.35550499476347101597e-05,0.000377630959506400914698,2.03576082264074438225e-05,0.0145776274660522668946,32
dot,normal_0_1,fp16_e5m10,16,262144,1,storage,8192,8192,0,0,0,-0.00256598459117164345968,0.121953413480557222425,0.0233413012815522025525,0.152778602171744595897,0.609195257601007405732,0.00029988409315687870566,7.30753942265065628731e-07,9.15471736963012729345e-07,3.63945441209228655395e-06,0.00174031252009992990079,0.0004403398373451623304,0.0188652651381174245179,32
dot,normal_0_1,fp16_e5m10,16,262144,1,kernel_x1,8192,8192,0,0,0,-4.64038529823795897755e-17,1.419437484218022405e-15,9.18329619802499348398e-29,9.58295163194774425364e-15,1.13686837721616029739e-13,1.88100710422055564159e-17,8.50303881972189373191e-21,5.74024485505638968397e-20,6.83692913227179917715e-19,1.01615482031276299242e-16,7.51783505915929839109e-30,0.0818642336808881580061,32
dot,normal_0_1,fp16_e5m10,16,262144,1,kernel_x2,8192,8192,0,0,0,-4.64038529823795897755e-17,1.47928544413922224976e-15,9.91792291601206072777e-29,9.95887690254883144884e-15,1.13686837721616029739e-13,1.95479628022967605505e-17,8.86192822392879725916e-21,5.96585270821494257463e-20,6.83692913227179917715e-19,1.06947535803314637107e-16,8.54798012879858502385e-30,0.0861872006990318316371,32
dot,normal_0_1,fp16_e5m10,16,262144,1,kernel_x4,8192,8192,0,0,0,2.16840434497100886801e-18,1.54000076579841049806e-15,1.04306825044057184013e-28,1.02130712836079423896e-14,1.13686837721616029739e-13,2.00469128700724360666e-17,9.22599880931505008956e-21,6.1183892395541204808e-20,6.83692913227179917715e-19,1.16875054047068957078e-16,9.47514639344025282813e-30,0.0908391794059318207158,32
dot,normal_0_1,fp16_e5m10,16,262144,1,total_x1,8192,8192,0,0,0,-0.00256598459117168986354,0.1219534134805571075,0.0233413012815521678089,0.152778602171744482192,0.609195257601007405732,0.000299884093156878482467,7.30753942265064941706e-07,9.15471736963012050695e-07,3.63945441209228655395e-06,0.00174031252009990549513,0.000440339837345164231142,0.0188652651381175340325,32
dot,normal_0_1,fp16_e5m10,16,262144,1,total_x2,8192,8192,0,0,0,-0.00256598459117168986354,0.12195341348055704505,0.0233413012815521531891,0.152778602171744434338,0.609195257601007405732,0.000299884093156878388552,7.30753942265064565856e-07,9.15471736963011761906e-07,3.63945441209228655395e-06,0.00174031252009990779461,0.000440339837345163249272,0.0188652651381175037816,32
dot,normal_0_1,fp16_e5m10,16,262144,1,total_x4,8192,8192,0,0,0,-0.00256598459117164129128,0.121953413480557086683,0.0233413012815521621863,0.152778602171744463787,0.609195257601007405732,0.000299884093156878446335,7.30753942265064815819e-07,9.15471736963011939078e-07,3.63945441209228655395e-06,0.00174031252009989386833,0.000440339837345161493558,0.0188652651381174212907,32
dot,normal_0_1,fp16_e5m10,16,4194304,1,storage,8192,8192,0,0,0,-0.00323627125376064536915,0.480776008640329155671,0.360299103735444356875,0.600249201361771373461,2.26597614852848044248,0.000290938272678495690328,1.80055528247311470035e-07,2.24799346276122028862e-07,8.48836250425654453454e-07,0.00788712327032917455688,0.00563269795478826522372,0.0156333943004314768082,32
dot,normal_0_1,fp16_e5m10,16,4194304,1,kernel_x1,8192,8192,0,0,0,-2.82890030844917816921e-15,1.31212315318540717612e-13,3.87815499549117951466e-26,1.96930317510818519337e-13,1.67688085639383643866e-12,9.54509575608036612008e-17,4.91404731190694299388e-20,7.37525852765046975164e-20,6.27513761633385526934e-19,2.01774565189574951996e-15,9.958660482956385893e-28,0.0256788614548271627875,32
