format,family,bits,arithmetic,distribution,kernel,strategy,samples,median_ms,minimum_ms,maximum_ms
e6m9,ieee,16,fp32,field_balanced_finite,gemv,full_lut_global,30,0.177455999,0.175871998,0.180575997
e6m9,ieee,16,fp32,field_balanced_finite,gemv,prefix_lut_global,30,0.207968004,0.206847996,0.210592002
e6m9,ieee,16,fp32,paired_log_uniform_finite,dot,direct_branchy,30,0.99495998,0.992864013,0.998655975
e6m9,ieee,16,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.650543987,0.639136016,0.659359992
e6m9,ieee,16,fp32,paired_log_uniform_finite,dot,prefix_lut_global,30,1.04185605,1.03878403,1.04582405
e6m9,ieee,16,fp32,paired_log_uniform_finite,gemv,direct_branchy,30,0.257615998,0.251168013,0.263711989
e6m9,ieee,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.257200003,0.254400015,0.259936005
e6m9,ieee,16,fp32,paired_log_uniform_finite,gemv,prefix_lut_global,30,0.273951993,0.265376002,0.280896008
e6m9,ieee,16,fp64,field_balanced_finite,dot,direct_branchy,30,0.926096022,0.923648,0.929696023
e6m9,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,30,0.524672002,0.521983981,0.529344022
e6m9,ieee,16,fp64,field_balanced_finite,dot,prefix_lut_global,30,0.97169599,0.969120026,0.973919988
e6m9,ieee,16,fp64,field_balanced_finite,gemv,direct_branchy,30,0.232239999,0.223168001,0.238015994
e6m9,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,30,0.187776,0.184992,0.190559998
e6m9,ieee,16,fp64,field_balanced_finite,gemv,prefix_lut_global,30,0.248400002,0.239807993,0.253439993
e6m9,ieee,16,fp64,paired_log_uniform_finite,dot,direct_branchy,30,1.03329599,1.02889597,1.03932798
e6m9,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.763952016,0.758463979,0.772383988
e6m9,ieee,16,fp64,paired_log_uniform_finite,dot,prefix_lut_global,30,1.12351995,1.11955202,1.12531197
e6m9,ieee,16,fp64,paired_log_uniform_finite,gemv,direct_branchy,30,0.360959992,0.358175993,0.366719991
e6m9,ieee,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.682240009,0.673759997,0.688639998
e6m9,ieee,16,fp64,paired_log_uniform_finite,gemv,prefix_lut_global,30,0.384304002,0.381664008,0.387935996
e8m5,ieee,14,fp32,field_balanced_finite,dot,direct_branchy,30,0.486944005,0.484544009,0.490175992
e8m5,ieee,14,fp32,field_balanced_finite,dot,full_lut_global,30,0.526576012,0.524320006,0.529824018
e8m5,ieee,14,fp32,field_balanced_finite,dot,full_lut_shared,30,1.01793599,1.01484799,1.02419198
e8m5,ieee,14,fp32,field_balanced_finite,gemv,direct_branchy,30,0.155536003,0.153727993,0.160543993
e8m5,ieee,14,fp32,field_balanced_finite,gemv,full_lut_global,30,0.195600003,0.191487998,0.198783994
e8m5,ieee,14,fp32,field_balanced_finite,gemv,full_lut_shared,30,0.406720012,0.403008014,0.408991992
e8m5,ieee,14,fp32,paired_log_uniform_finite,dot,direct_branchy,30,0.486527994,0.483103991,0.491167992
e8m5,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.59969601,0.597024024,0.603999972
e8m5,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_shared,30,1.02616,1.02284801,1.02982402
e8m5,ieee,14,fp32,paired_log_uniform_finite,gemv,direct_branchy,30,0.156959996,0.155423999,0.161727995
e8m5,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.281728015,0.279711992,0.283679992
e8m5,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_shared,30,0.410431996,0.406495988,0.414016008
fp16_e5m10,ieee,16,fp32,field_balanced_finite,dot,full_lut_global,30,0.516240001,0.513599992,0.519775987
fp16_e5m10,ieee,16,fp32,field_balanced_finite,dot,native_scalar,30,0.489904002,0.486975998,0.494143993
fp16_e5m10,ieee,16,fp32,field_balanced_finite,gemv,full_lut_global,30,0.171840005,0.165472001,0.176607996
fp16_e5m10,ieee,16,fp32,field_balanced_finite,gemv,native_scalar,30,0.114736002,0.113760002,0.117760003
fp16_e5m10,ieee,16,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.643824011,0.630879998,0.659839988
fp16_e5m10,ieee,16,fp32,paired_log_uniform_finite,dot,native_scalar,30,0.489759997,0.48694399,0.493696004
fp16_e5m10,ieee,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.248704001,0.246271998,0.250367999
fp16_e5m10,ieee,16,fp32,paired_log_uniform_finite,gemv,native_scalar,30,0.114416,0.113568,0.117087997
