question,bits,arithmetic,distribution,kernel,numerator_format,numerator_strategy,denominator_format,denominator_strategy,ratio,ci_lower,ci_upper,classification,interval_method,note
2,14,fp64,lut_concentrated_control,dot,posit14_es1,full_lut_shared,e5m8,full_lut_shared,0.999976383,0.999384746,1.0012565,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp64,lut_concentrated_control,gemv,posit14_es1,full_lut_global,e5m8,full_lut_global,1.00041387,0.998413024,1.00349591,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp64,lut_concentrated_control,gemv,posit14_es1,full_lut_shared,e5m8,full_lut_shared,1.00030409,0.999279572,1.00115374,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp64,lut_scattered_control,dot,posit14_es1,full_lut_global,e5m8,full_lut_global,1.00096672,0.998657091,1.00305459,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp64,lut_scattered_control,dot,posit14_es1,full_lut_shared,e5m8,full_lut_shared,1.00006379,0.999356788,1.00172639,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp64,lut_scattered_control,gemv,posit14_es1,full_lut_global,e5m8,full_lut_global,1.009178,1.00318724,1.01223832,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp64,lut_scattered_control,gemv,posit14_es1,full_lut_shared,e5m8,full_lut_shared,0.999229583,0.998363904,1.00158959,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,8,fp32,lut_concentrated_control,dot,posit8_es0,full_lut_global,fp8_e4m3,full_lut_global,1.00137962,0.99939099,1.00323981,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,8,fp32,lut_concentrated_control,dot,posit8_es0,full_lut_shared,fp8_e4m3,full_lut_shared,0.999967357,0.998690146,1.00206373,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,8,fp32,lut_concentrated_control,gemv,posit8_es0,full_lut_global,fp8_e4m3,full_lut_global,0.999203352,0.996536985,1.00294351,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
