gpu,compute_capability,distribution,format,storage_bits,component,lanes,n,m,leading_dimension,blocks,threads,decode_repeats,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,decoded_values,unique_storage_bytes,requested_storage_bytes,useful_flops,modeled_flops,arithmetic_intensity_unique,arithmetic_intensity_requested,decoded_gvalues_per_s,unique_storage_gb_per_s,requested_storage_gb_per_s,useful_gflop_per_s,theoretical_hbm_gb_per_s,modeled_fp64_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,1,0,0,3691,8.1032323837280273,0.0021954029758136082,0,8192,8192,0,0,0,0,0,3.7314334043680861,3.7314334043680861,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,1,0,1,3721,8.1584959030151367,0.0021925546635353766,0,8192,8192,0,0,0,0,0,3.7362808491127151,3.7362808491127151,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,1,0,2,3473,7.6905279159545898,0.002214376019566539,0,8192,8192,0,0,0,0,0,3.6994620279547519,3.6994620279547519,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,1,1,0,3721,8.159423828125,0.0021928040387328676,0,8192,8192,0,0,0,0,0,3.735855943029831,3.735855943029831,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,1,1,1,3473,7.6885437965393066,0.0022138047211457835,0,8192,8192,0,0,0,0,0,3.7004167177672849,3.7004167177672849,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,1,1,2,3691,8.1005764007568359,0.0021946833922397279,0,8192,8192,0,0,0,0,0,3.732656851082226,3.732656851082226,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,1,2,0,3473,7.6856322288513184,0.0022129663774406328,0,8192,8192,0,0,0,0,0,3.7018185560841244,3.7018185560841244,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,1,2,1,3691,8.1004800796508789,0.0021946572960311241,0,8192,8192,0,0,0,0,0,3.7327012353202607,3.7327012353202607,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,1,2,2,3721,8.1582717895507812,0.0021924944341711319,0,8192,8192,0,0,0,0,0,3.7363834873756332,3.7363834873756332,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,1,3,0,3691,8.0971517562866211,0.0021937555557536227,0,8192,8192,0,0,0,0,0,3.7342355571543129,3.7342355571543129,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,1,3,1,3721,8.1579198837280273,0.0021923998612545089,0,8192,8192,0,0,0,0,0,3.736544662665902,3.736544662665902,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,1,3,2,3473,7.6918082237243652,0.0022147446656275165,0,8192,8192,0,0,0,0,0,3.698846249474502,3.698846249474502,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,1,4,0,3721,8.1593599319458008,0.0021927868669566787,0,8192,8192,0,0,0,0,0,3.7358851986237487,3.7358851986237487,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,1,4,1,3473,7.6911358833312988,0.0022145510749586234,0,8192,8192,0,0,0,0,0,3.6991695936175502,3.6991695936175502,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,1,4,2,3691,8.098048210144043,0.0021939984313584511,0,8192,8192,0,0,0,0,0,3.7338221773147686,3.7338221773147686,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,2,0,0,3721,8.1580162048339844,0.0021924257470663758,0,8192,8192,0,0,0,0,0,3.7365005455539317,3.7365005455539317,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,2,0,1,3473,7.6880321502685547,0.0022136574000197395,0,8192,8192,0,0,0,0,0,3.7006629842210232,3.7006629842210232,0,4814.3040000000001,30159.360000000001
