benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes
e1m14,e1m14,16,e1_integer_x4,e1_integer,none,shift_mask,4,0,0
e1m14,e1m14,16,e1_integer_x8,e1_integer,none,shift_mask,8,0,0
e1m14,e1m14,16,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0
e1m14,e1m14,16,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0
e1m14,e1m14,16,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0
e1m14,e1m14,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0
e1m14,e1m14,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0
e1m14,e1m14,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0
e1m14,e1m14,16,generic_x1,generic,none,shift_mask,1,0,0
e1m14,e1m14,16,generic_x4,generic,none,shift_mask,4,0,0
e1m14,e1m14,16,generic_x8,generic,none,shift_mask,8,0,0
e1m14,e1m14,16,subnormal_global_x4,subnormal_high_lut,global,shift_mask,4,4,0
e1m14,e1m14,16,subnormal_global_x8,subnormal_high_lut,global,shift_mask,8,4,0
e1m14,e1m14,16,subnormal_shared_x4,subnormal_high_lut,shared,shift_mask,4,4,65536
e1m14,e1m14,16,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,65536
e1m14,e1m14,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
e1m14,e1m14,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
e1m14,e1m14,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
e1m14,e1m14,16,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
