distribution,component,n,m,format,strategy,storage_bits,lanes,median_time_ms,speedup_vs_fp64_x1,speedup_vs_fp64_x4,speedup_vs_same_format_current_width,cv_percent
uniform_0_1,dot,65536,1,e3m4,branchless_x4,8,4,0.004729281138194041,0.9849629200289287,0.9869984942634209,1.1976188410406639,0.06547242652460838
uniform_0_1,dot,65536,1,e3m4,current_x1,8,1,0.005079564099391475,0.9170406098569325,0.9189358124066417,1.0,0.04423098550759829
uniform_0_1,dot,65536,1,e3m4,current_x4,8,4,0.00566387619567942,0.8224343892027041,0.8241340737473488,1.0,0.09230919808097661
uniform_0_1,dot,65536,1,e3m4,lut_x1,8,1,0.004797506528751058,0.9709557520343816,0.9729623783463803,1.0587925350283673,0.0191526114208103
uniform_0_1,dot,65536,1,e3m4,lut_x4,8,4,0.004744286350334726,0.9818476827783991,0.9838768189058797,1.1938310163929742,0.008798638228441883
uniform_0_1,dot,65536,1,fp64_e11m52,current_x1,64,1,0.0046581665595133385,1.0,1.0020666506252158,1.0,0.004053655050731492
uniform_0_1,dot,65536,1,fp64_e11m52,current_x4,64,4,0.004667793362345916,0.9979376116110377,1.0,1.0,0.008425009420342326
uniform_0_1,gemv,1024,1024,e2m5,branchless_x4,8,4,0.0053930386933508274,0.7893468447038059,0.8276152732019006,1.3116224867373607,0.253772601008295
uniform_0_1,gemv,1024,1024,e2m5,current_x1,8,1,0.007720254533032956,0.5514038504491675,0.5781365332565667,1.0,0.2918338061316685
uniform_0_1,gemv,1024,1024,e2m5,current_x4,8,4,0.007073630822043619,0.6018094784782877,0.6309858831869984,1.0,0.26278869997250376
uniform_0_1,gemv,1024,1024,e2m5,lut_x1,8,1,0.004514829445498549,0.9428879047039916,0.9886001775850252,1.7099770049409801,0.1477440100240188
uniform_0_1,gemv,1024,1024,e2m5,lut_x4,8,4,0.003967868918836536,1.0728625776302734,1.124876169773955,1.7827279496213195,0.050401991970962276
uniform_0_1,gemv,1024,1024,e3m4,branchless_x4,8,4,0.005383522673086686,0.7907421096679879,0.8290781821908558,1.437956216154459,0.225167801635346
uniform_0_1,gemv,1024,1024,e3m4,current_x1,8,1,0.008426112097662848,0.5052126089258616,0.5297058880600425,1.0,0.22034357375007863
uniform_0_1,gemv,1024,1024,e3m4,current_x4,8,4,0.00774126989257347,0.5499069448600302,0.5765670559901107,1.0,0.2133539020827296
uniform_0_1,gemv,1024,1024,e3m4,lut_x1,8,1,0.004513996916541608,0.9430618041324424,0.9887825078546052,1.8666632373596082,0.19222607112301318
uniform_0_1,gemv,1024,1024,e3m4,lut_x4,8,4,0.003979065587268844,1.0698436561544393,1.1217108875678357,1.9454994452320482,0.13224902055652035
uniform_0_1,gemv,1024,1024,fp64_e11m52,current_x1,64,1,0.004256978075962012,1.0,1.0484811319065381,1.0,0.612438442270972
uniform_0_1,gemv,1024,1024,fp64_e11m52,current_x4,64,4,0.004463361191585967,0.953760606241544,1.0,1.0,0.46901723862622924
