gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample,iterations,total_time_ms,time_ms
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,4194304,1,8,2048,0,0,130,1.7555840015411377,0.013504492319547213
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,4194304,1,8,2048,0,1,130,1.7559679746627808,0.013507445958944467
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,4194304,1,8,2048,0,2,130,1.7541439533233643,0.01349341502556434
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,4194304,1,4,1024,0,0,151,1.6729279756546021,0.011078993216255642
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,4194304,1,4,1024,0,1,151,1.6766719818115234,0.011103787959016712
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,4194304,1,4,1024,0,2,151,1.6756479740142822,0.01109700645042571
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,4194304,1,4,0,1,0,145,1.7433279752731323,0.012022951553607809
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,4194304,1,4,0,1,1,145,1.7420480251312256,0.012014124311249832
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,4194304,1,4,0,1,2,145,1.7416000366210938,0.012011034735317888
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,4194304,1,4,0,1,0,143,1.7501120567321777,0.01223854585127397
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,4194304,1,4,0,1,1,143,1.7487679719924927,0.012229146657290158
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,4194304,1,4,0,1,2,143,1.74835205078125,0.012226238117351398
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,gemv,1,1024,256,0,0,0,0,289,1.4359359741210938,0.0049686365886543035
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,gemv,1,1024,256,0,0,0,1,289,1.4370880126953125,0.0049726228812986594
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,gemv,1,1024,256,0,0,0,2,289,1.4387840032577515,0.0049784913607534651
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,gemv,1,1024,256,0,0,0,0,348,1.3509119749069214,0.0038819309623762109
